City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
camana,-16.62,-72.71,67.3,63,41,11.03,PE,1601396779
tuktoyaktuk,69.45,-133.04,35.6,98,75,10.29,CA,1601396780
raudeberg,61.99,5.14,52.0,96,100,6.06,NO,1601396780
windhoek,-22.56,17.08,81.0,6,0,4.7,NA,1601396780
te anau,-45.42,167.72,29.23,96,54,0.69,NZ,1601396781
la primavera,5.49,-70.41,88.09,60,11,5.61,CO,1601396781
labuhan,-6.88,112.21,79.59,76,4,8.93,ID,1601396782
guarapari,-20.67,-40.5,84.2,66,16,13.87,BR,1601396745
dawson creek,55.77,-120.24,51.8,53,1,13.87,CA,1601396783
gweta,-20.18,25.23,91.92,16,51,9.22,BW,1601396783
esperance,-33.87,121.9,59.0,100,90,13.87,AU,1601396783
naze,28.37,129.48,75.2,83,90,2.24,JP,1601396784
ponta delgada,37.73,-25.67,71.6,68,20,17.22,PT,1601396784
nanortalik,60.14,-45.24,37.96,71,0,24.16,GL,1601396785
port lincoln,-34.73,135.87,54.25,84,25,12.24,AU,1601396785
chuy,-33.7,-53.46,64.83,52,0,6.08,UY,1601396785
nikel,69.41,30.22,53.6,81,75,18.34,RU,1601396786
gravdal,68.12,13.5,51.8,93,75,6.93,NO,1601396786
magalia,39.81,-121.58,78.8,18,5,4.09,US,1601396786
malazgirt,39.14,42.54,62.2,41,0,5.39,TR,1601396786
port macquarie,-31.43,152.92,48.99,94,14,1.01,AU,1601396735
meteti,8.5,-77.98,89.8,61,91,1.7,PA,1601396787
mount gambier,-37.83,140.77,53.6,93,90,8.05,AU,1601396787
zhanakorgan,43.91,67.25,61.65,28,97,22.79,KZ,1601396788
kafanchan,9.58,8.3,72.01,92,100,1.12,NG,1601396788
cairns,-16.92,145.77,75.2,64,90,12.75,AU,1601396783
yasnyy,51.03,59.87,55.33,51,0,8.43,RU,1601396789
talnakh,69.49,88.4,35.6,100,90,13.42,RU,1601396789
henties bay,-22.12,14.28,61.0,76,1,6.2,NA,1601396790
kamyshevatskaya,46.41,37.96,73.6,46,100,17.92,RU,1601396790
carnarvon,-24.87,113.63,66.2,77,0,19.46,AU,1601396790
mangai,-4.05,19.53,77.13,84,98,3.62,CD,1601396791
iqaluit,63.75,-68.51,26.6,68,20,10.29,CA,1601396791
campbell river,50.02,-125.24,55.0,100,5,2.24,CA,1601396590
amahai,-3.33,128.92,77.41,85,82,2.42,ID,1601396792
awbari,26.59,12.78,99.28,9,0,14.18,LY,1601396792
flinders,-34.58,150.86,57.99,77,100,1.01,AU,1601396793
laguna,38.42,-121.42,71.6,52,1,3.18,US,1601396793
venice,27.1,-82.45,86.0,79,1,9.17,US,1601396794
berlevag,70.86,29.09,55.4,81,20,32.21,NO,1601396794
tommot,58.96,126.29,42.71,89,100,5.1,RU,1601396794
port elizabeth,-33.92,25.57,55.4,82,40,9.17,ZA,1601396795
baglung,28.27,83.59,68.32,78,10,2.84,NP,1601396795
victoria,22.29,114.16,82.0,85,44,10.47,HK,1601396535
hasaki,35.73,140.83,59.0,87,75,10.29,JP,1601396796
bushehr,28.97,50.84,91.4,55,20,16.11,IR,1601396698
carauari,-4.88,-66.9,95.54,40,88,5.06,BR,1601396796
umm lajj,25.02,37.27,87.78,52,0,4.7,SA,1601396797
bac lieu,9.29,105.72,79.05,83,62,5.88,VN,1601396797
kruisfontein,-34.0,24.73,57.99,66,1,4.0,ZA,1601396797
cape town,-33.93,18.42,61.0,58,0,19.46,ZA,1601396798
boden,65.83,21.69,46.4,100,90,3.36,SE,1601396798
giaveno,45.05,7.35,68.0,57,100,1.01,IT,1601396798
newport,51.59,-3.0,63.0,62,25,1.01,GB,1601396675
tena,-0.98,-77.82,75.2,94,75,5.82,EC,1601396799
mount isa,-20.73,139.5,69.8,26,0,4.7,AU,1601396799
mondovi,44.4,7.82,71.01,52,100,3.36,IT,1601396800
mersing,2.43,103.84,77.0,94,40,5.82,MY,1601396800
balikpapan,-1.27,116.83,77.31,89,21,5.01,ID,1601396800
stara vyzhivka,51.44,24.44,57.7,76,100,4.88,UA,1601396801
kaitangata,-46.28,169.85,39.0,64,53,11.99,NZ,1601396801
batemans bay,-35.72,150.18,50.0,96,99,3.51,AU,1601396801
tanete,-3.94,119.78,75.45,82,55,2.39,ID,1601396802
dicabisagan,17.08,122.42,80.47,82,99,3.96,PH,1601396802
haizhou,34.58,119.13,63.46,87,1,7.27,CN,1601396803
umarkot,25.36,69.74,88.7,46,0,16.24,PK,1601396803
champerico,14.3,-91.92,82.4,74,75,4.7,GT,1601396803
ximei,24.96,118.38,77.0,78,90,6.71,CN,1601396725
georgetown,5.41,100.34,82.4,83,20,3.36,MY,1601396804
sabang,5.89,95.32,82.29,76,56,6.53,ID,1601396805
palmer,42.16,-72.33,77.0,61,75,5.82,US,1601396525
jablah,35.36,35.93,82.4,78,20,3.36,SY,1601396805
vostok,46.49,135.88,38.86,98,17,3.4,RU,1601396805
bandarbeyla,9.49,50.81,77.43,84,18,17.65,SO,1601396806
shingu,33.73,135.98,64.89,82,57,4.45,JP,1601396806
olga,43.74,135.29,47.98,82,94,6.06,RU,1601396807
nouakchott,18.09,-15.98,91.4,46,0,13.87,MR,1601396795
logan lake,50.5,-120.8,51.8,81,20,2.24,CA,1601396807
payo,-3.75,103.64,74.12,88,12,2.55,ID,1601396808
inhambane,-23.86,35.38,77.0,88,40,10.29,MZ,1601396808
tabuk,17.42,121.44,74.82,89,79,2.8,PH,1601396809
puerto quijarro,-17.78,-57.77,107.04,20,76,7.07,BO,1601396809
sitka,57.05,-135.33,48.2,81,90,8.05,US,1601396810
seoul,37.57,126.98,64.4,82,75,2.66,KR,1601396581
pontianak,-0.03,109.33,76.78,90,73,2.95,ID,1601396810
alugan,12.22,125.48,78.93,86,100,4.29,PH,1601396811
quesnel,53.0,-122.5,51.8,93,90,4.7,CA,1601396811
sioux lookout,50.1,-91.92,46.4,100,90,4.7,CA,1601396811
beira,-19.84,34.84,77.0,88,75,13.87,MZ,1601396798
namibe,-15.2,12.15,67.17,75,3,7.74,AO,1601396812
prince rupert,54.32,-130.32,51.8,100,90,3.36,CA,1601396552
peterhead,57.51,-1.8,55.0,71,35,10.29,GB,1601396812
todos santos,23.45,-110.22,84.99,69,0,3.0,MX,1601396812
gryfino,53.25,14.49,63.0,58,40,1.01,PL,1601396813
port hardy,50.7,-127.42,51.8,100,90,3.36,CA,1601396813
verkhnetulomskiy,68.61,31.8,42.8,100,0,2.24,RU,1601396813
vao,-22.67,167.48,67.59,71,0,18.54,NC,1601396814
ust-barguzin,53.45,108.98,40.66,70,53,3.29,RU,1601396814
paamiut,61.99,-49.67,35.17,77,0,17.96,GL,1601396815
nizwa,22.93,57.53,88.99,17,71,1.21,OM,1601396815
aleksandro-nevskiy,53.48,40.21,56.08,39,100,10.18,RU,1601396815
kavieng,-2.57,150.8,80.73,78,29,4.27,PG,1601396816
shugurovo,54.51,52.13,53.17,71,5,3.94,RU,1601396816
pangnirtung,66.15,-65.71,32.0,86,75,3.36,CA,1601396816
corinto,37.94,22.96,73.0,56,2,8.01,GR,1601396816
arman,59.7,150.17,42.73,88,100,5.86,RU,1601396817
sao miguel do tapuio,-5.5,-41.32,101.91,20,1,10.4,BR,1601396817
hambantota,6.12,81.12,78.8,100,20,8.05,LK,1601396818
portland,45.52,-122.68,66.0,82,20,4.7,US,1601396768
kodiak,57.79,-152.41,48.2,81,90,13.87,US,1601396818
lebu,-37.62,-73.65,51.98,74,94,25.43,CL,1601396819
dutlwe,-23.98,23.9,75.81,12,0,9.06,BW,1601396819
meulaboh,4.14,96.13,78.58,85,96,4.47,ID,1601396819
bambous virieux,-20.34,57.76,73.4,88,75,8.05,MU,1601396820
alice springs,-23.7,133.88,68.0,28,40,10.29,AU,1601396566
praia da vitoria,38.73,-27.07,69.8,64,75,11.63,PT,1601396820
andenes,69.31,16.12,53.6,87,75,14.99,NO,1601396821
ixtapa,20.7,-105.2,86.0,74,5,0.54,MX,1601396821
biak,-0.91,122.88,76.59,83,52,3.69,ID,1601396821
bengkulu,-3.8,102.27,77.5,88,17,10.47,ID,1601396822
mombetsu,44.35,143.35,53.01,84,93,5.99,JP,1601396822
odweyne,9.41,45.06,77.47,57,75,7.92,SO,1601396823
sinnamary,5.38,-52.95,86.22,60,2,9.26,GF,1601396824
wagar,16.15,36.2,98.62,13,43,4.65,SD,1601396825
hithadhoo,-0.6,73.08,84.04,70,21,11.95,MV,1601396825
tessalit,20.2,1.01,103.53,10,79,6.49,ML,1601396825
bubaque,11.28,-15.83,82.33,74,60,5.39,GW,1601396826
mabaruma,8.2,-59.78,89.28,59,100,6.85,GY,1601396826
saldanha,-33.01,17.94,62.6,48,0,19.46,ZA,1601396827
nouadhibou,20.93,-17.03,80.6,57,0,17.22,MR,1601396827
coihaique,-45.58,-72.07,44.6,48,75,4.7,CL,1601396593
pangody,65.85,74.49,41.2,68,100,10.85,RU,1601396828
guerrero negro,27.98,-114.06,81.57,50,0,3.51,MX,1601396828
ilulissat,69.22,-51.1,30.2,58,75,3.36,GL,1601396829
klaksvik,62.23,-6.59,51.8,81,27,18.34,FO,1601396829
amiens,49.9,2.3,64.99,82,90,6.93,FR,1601396830
njombe,-9.33,34.77,64.24,69,85,8.21,TZ,1601396830
nyagan,62.14,65.39,46.78,92,97,8.55,RU,1601396830
petatlan,17.52,-101.27,86.0,66,40,3.13,MX,1601396831
berbera,10.44,45.01,90.23,59,74,13.89,SO,1601396831
little current,45.98,-81.92,57.2,76,90,14.99,CA,1601396832
burnie,-41.07,145.92,51.01,86,100,5.99,AU,1601396832
shimoda,34.67,138.95,57.99,79,94,12.95,JP,1601396833
guhagar,17.48,73.19,77.4,83,0,3.87,IN,1601396833
merauke,-8.47,140.33,78.22,77,96,16.2,ID,1601396834
maningrida,-12.07,134.27,76.28,81,57,9.75,AU,1601396834
fortuna,40.6,-124.16,62.6,51,20,8.05,US,1601396834
nanning,22.82,108.32,80.6,88,78,2.24,CN,1601396835
dodge city,37.75,-100.02,68.0,22,1,9.17,US,1601396835
vizinga,61.07,50.1,49.53,87,79,4.03,RU,1601396835
pilar,-9.6,-35.96,84.2,62,40,13.87,BR,1601396836
yenotayevka,47.25,47.03,60.01,98,0,14.74,RU,1601396807
ucluelet,48.93,-125.55,57.0,100,5,4.09,CA,1601396540
carazinho,-28.28,-52.79,75.2,60,26,18.34,BR,1601396643
kahului,20.89,-156.47,73.99,78,40,6.35,US,1601396709
pytalovo,57.07,27.91,53.46,85,16,4.07,RU,1601396837
verkhnevilyuysk,63.45,120.32,30.85,92,1,8.03,RU,1601396837
pedasi,7.53,-80.03,83.39,68,92,3.76,PA,1601396838
pascagoula,30.37,-88.56,64.4,77,90,10.29,US,1601396662
shishou,29.72,112.42,65.89,95,98,5.99,CN,1601396839
beisfjord,68.38,17.6,55.4,87,20,24.16,NO,1601396839
ukiah,39.15,-123.21,66.99,59,1,2.1,US,1601396839
bayan,46.08,127.4,44.6,73,0,1.43,CN,1601396840
aksarka,66.56,67.8,41.81,91,100,9.08,RU,1601396840
heihe,50.24,127.49,39.2,69,0,4.47,CN,1601396840
axim,4.87,-2.24,79.61,80,54,11.56,GH,1601396841
vestmannaeyjar,63.44,-20.27,44.6,81,40,6.93,IS,1601396841
sao gabriel da cachoeira,-0.13,-67.09,86.0,74,20,3.36,BR,1601396842
grand-lahou,5.14,-5.02,79.48,80,39,11.74,CI,1601396842
liverpool,53.41,-2.98,61.0,59,20,2.24,GB,1601396644
srednekolymsk,67.45,153.68,43.86,73,92,6.15,RU,1601396843
maniitsoq,65.42,-52.9,30.25,86,27,5.59,GL,1601396843
nyuksenitsa,60.41,44.24,49.33,82,100,4.92,RU,1601396843
acapulco,16.86,-99.89,84.2,70,90,8.05,MX,1601396844
bilma,18.69,12.92,104.85,9,52,4.99,NE,1601396844
san quintin,30.48,-115.95,80.53,47,0,4.72,MX,1601396844
karratha,-20.74,116.85,69.82,54,1,9.24,AU,1601396845
udachnyy,66.42,112.4,24.8,92,90,8.95,RU,1601396846
geraldton,-28.77,114.6,50.0,87,4,3.36,AU,1601396846
bilibino,68.05,166.44,32.11,90,100,1.7,RU,1601396847
byron bay,-28.65,153.62,54.0,87,75,2.86,AU,1601396847
gwadar,25.12,62.33,81.52,79,0,8.66,PK,1601396848
canico,32.63,-16.85,73.4,64,40,10.29,PT,1601396615
lukovetskiy,64.3,41.92,51.8,71,20,4.47,RU,1601396848
solnechnyy,50.72,136.63,43.65,66,100,4.21,RU,1601396848
minna,9.61,6.56,71.6,94,20,3.36,NG,1601396849
tiznit,29.58,-9.5,79.09,46,0,7.18,MA,1601396850
gladstone,-23.85,151.25,62.6,63,1,5.82,AU,1601396850
mapastepec,15.43,-92.9,88.54,58,24,5.64,MX,1601396851
gizo,-8.1,156.84,80.19,83,100,16.33,SB,1601396851
manzanillo,20.34,-77.12,86.04,67,0,2.35,CU,1601396851
songkhla,6.83,100.67,77.0,94,20,2.24,TH,1601396852
islamkot,24.7,70.18,86.0,50,0,11.9,PK,1601396852
frontera,26.93,-101.45,67.89,33,0,4.59,MX,1601396852
washington,47.5,-120.5,55.0,82,0,1.01,US,1601396638
rio de janeiro,-22.9,-43.21,80.6,83,90,11.41,BR,1601396627
haines junction,60.75,-137.51,36.9,80,80,1.66,CA,1601396853
flin flon,54.77,-101.86,53.6,66,75,8.05,CA,1601396577
ekibastuz,51.67,75.37,41.65,65,0,8.66,KZ,1601396854
dukat,62.55,155.55,32.41,97,98,5.28,RU,1601396854
half moon bay,37.46,-122.43,68.0,77,20,3.36,US,1601396855
north bend,43.41,-124.22,64.99,82,1,8.05,US,1601396855
iyo,33.75,132.7,66.99,89,100,5.66,JP,1601396855
chicama,-7.84,-79.15,73.44,53,8,9.22,PE,1601396856
batagay-alyta,67.8,130.41,30.45,91,49,10.09,RU,1601396856
jam sahib,26.3,68.63,86.0,66,0,9.17,PK,1601396857
viedma,-40.81,-63.0,70.0,31,100,3.0,AR,1601396666
sawakin,19.11,37.33,88.52,61,0,4.09,SD,1601396857
constantine,36.37,6.61,84.2,23,27,8.05,DZ,1601396683
polyarnyy,69.2,33.45,42.8,100,0,2.24,RU,1601396858
broome,42.25,-75.83,60.01,93,90,5.82,US,1601396858
sao jose da coroa grande,-8.9,-35.15,80.02,64,55,9.57,BR,1601396858
borazjan,29.27,51.22,91.4,55,20,16.11,IR,1601396859
taltal,-25.4,-70.48,63.27,61,10,8.3,CL,1601396859
padang,-0.95,100.35,77.76,76,79,4.27,ID,1601396859
hervey bay,-25.3,152.85,57.2,71,0,6.93,AU,1601396606
omboue,-1.57,9.26,78.13,69,59,11.14,GA,1601396860
tingi,-11.3,35.03,72.34,51,66,8.14,TZ,1601396860
cabo san lucas,22.89,-109.91,89.6,55,20,3.36,MX,1601396710
pacific grove,36.62,-121.92,57.2,100,90,2.37,US,1601396779
abalak,58.13,68.59,38.95,75,32,4.09,RU,1601396861
alofi,-19.06,-169.92,75.2,94,77,8.05,NU,1601396862
boyolangu,-8.12,111.89,74.95,88,63,5.26,ID,1601396862
domoni,-12.26,44.53,77.05,73,21,2.93,KM,1601396862
mosquera,4.71,-74.23,62.6,55,75,9.17,CO,1601396863
calama,-22.47,-68.93,71.6,10,0,14.99,CL,1601396863
coxim,-18.51,-54.76,108.91,12,9,11.54,BR,1601396863
cantanhede,-3.63,-44.38,94.48,44,98,2.19,BR,1601396864
katangli,51.71,143.23,44.64,88,0,7.4,RU,1601396864
lyngseidet,69.58,20.22,57.2,67,26,16.11,NO,1601396864
eyl,7.98,49.82,78.69,79,34,16.71,SO,1601396865
diffa,13.32,12.61,87.4,47,81,4.25,NE,1601396865
